User ID,User name,User influence,Tweet text,Tweet ID,Posting date,Retweets,Hash tags,Mentions,Links
movietalkies,MovieTalkies.com,,Team #satyagraha To Promote The Film On Independence Day in Delhi?  @SrBachchan @rampalarjun @ajaydevgn @BajpayeeManoj ,http://twitter.com/movietalkies/status/357101325638574082,2013-07-16,3,#satyagraha,"@SrBachchan,@rampalarjun,@ajaydevgn,@BajpayeeManoj",http://t.co/76xPz4Sa1r
amolnwagle,ImAmol,,Sirji Abhishek will feel bad if you convert Idea into Reality @SrBachchan: T 1175 -Why does it take so long to convert an idea into reality? ,http://twitter.com/amolnwagle/status/358281027145314304,2013-07-19,2,,@SrBachchan,
abhiash_indofc,AbhishekAishwaryaLuv,,@SrBachchan @karanjohar At #Pran's Funeral  ,http://twitter.com/abhiash_indofc/status/356742920637923328,2013-07-15,2,#Pran,"@SrBachchan,@karanjohar",http://t.co/OJXj4UHosm
gsgarima36,गरिमा  श्रीवास्तव,,"@SrBachchan : Prabhu, hope you like this rare pic of a family function with babuji ",http://twitter.com/gsgarima36/status/358251602685071360,2013-07-19,3,,@SrBachchan,
mosessapir,Moses Sapir,,"@SrBachchan Amit ji soon Jurmana, Bemisal , Suhaag, Pukar, Kasme vaade will broadcasting on full HD here in Israel , hai na amazing ",http://twitter.com/mosessapir/status/356489320468721664,2013-07-14,2,,@SrBachchan,
missmalini,MissMalini,Highly Influential,D-Day Screening PHOTO ALBUM HERE:  with @SrBachchan @aliaa08 @DinoMorea9 @thevirdas ,http://twitter.com/missmalini/status/358190067992363010,2013-07-19,2,,"@SrBachchan,@aliaa08,@DinoMorea9,@thevirdas",http://t.co/XzijgCH4Ya
igoogleguy,°• A A D I T Y A •°,,@SrBachchan sir a student of shoshit samadhan kendra made ths for u. ,http://twitter.com/igoogleguy/status/356688647069777920,2013-07-15,5,,@SrBachchan,
bollyhungama,Bollywood Hungama,Influential,". @SrBachchan -@juniorbachchan , Ranbir-Rishi in Bhushan Kumar's forthcoming films ",http://twitter.com/bollyhungama/status/358110995358547969,2013-07-20,7,,@SrBachchan,
missmalini,MissMalini,Highly Influential,D-Day Screening PHOTO ALBUM HERE:  with @SrBachchan @aliaa08 @DinoMorea9 @thevirdas ,http://twitter.com/missmalini/status/358190067992363010,2013-07-19,2,,"@SrBachchan,@aliaa08,@DinoMorea9,@thevirdas",http://t.co/XzijgCH4Ya
igoogleguy,°• A A D I T Y A •°,,@SrBachchan sir a student of shoshit samadhan kendra made ths for u. ,http://twitter.com/igoogleguy/status/356688647069777920,2013-07-15,5,,@SrBachchan,
bollyhungama,Bollywood Hungama,Influential,". @SrBachchan -@juniorbachchan , Ranbir-Rishi in Bhushan Kumar's forthcoming films ",http://twitter.com/bollyhungama/status/358110995358547969,2013-07-20,7,,@SrBachchan,
abhiash_indofc,AbhishekAishwaryaLuv,,"[video] ""@glamsham: #Nagarguna says ""@SrBachchan is very passionate actor"" Watch the video here:  ",http://twitter.com/abhiash_indofc/status/357446397999587328,2013-07-17,2,#Nagarguna,,"http://t.co/bKsrCQ4pBP"""
brynabryne,Sabrina ♑,,Plz @SrBachchan RT @Priakatariapuri: Looking for urgent blood any blood group for my dad @apollo hospital delhi pl contact 099-20-569632 ,http://twitter.com/brynabryne/status/356381728375447553,2013-07-14,0,,"@SrBachchan,@Priakatariapuri,@apollo",
7354444084,vipin kumar pandey,,"Amit ji & pran ji in Ravi Tandon's Majboor,, @SrBachchan @TandonRaveena what a great role & acting by pran Saheb  ",http://twitter.com/7354444084/status/356025540534210561,2013-07-13,3,,"@SrBachchan,@TandonRaveena",http://t.co/a7HEWbOMiy
nazzo7,Narinder S Athwal,Influential,I hate seeing @SrBachchan on my TL #neverforget1984 ,http://twitter.com/nazzo7/status/358282817098092544,2013-07-19,0,#neverforget1984,@SrBachchan,
thekhullasaand,ѕαη∂yy ●๋,,"Stay There, Keep Checking Mentions. He'll Come And Ask Why Did You Do This, And Beg For Follow :) RT @ImVishalRaj: Unfollowed @SrBachchan !! ",http://twitter.com/thekhullasaand/status/356259530910351362,2013-07-13,0,,"@ImVishalRaj,@SrBachchan",
_prithwish_,Prithwish Ganguly,,What a surprise! Popular Mollywood actor Manju Warrier shoots with @SrBachchan for jewellery brand ad. She faced arc lights after 14 years!! ,http://twitter.com/_prithwish_/status/356853407862108160,2013-07-15,0,,@SrBachchan,
